ID,tweet,mandatory
1363912685516165129t,Ive no issue with people making their own minds up about whether to take a vaccine  I do have issues with those who want to ostracise and label those of us who cant be vaccinated or who want decent data on side effects both long  short term before they choose,0
1290422791020277761t,The same people who intentionally killed your grandma via throwing infected COVID patients into their homes will be the first people demanding mandatory vaccines Stop voting for people who want you dead Kthanks,1
1376977221211017219t,This is true Just because you have a right to do something doesnt mean you should   As for this liberal who harbors a lot of libertarian views a vaccine passport per se should be left up to the private sector Government should not interfere in any way,1
1327823070065733632t, JILL Please help us spread the Truth about Covid 19 and the Pending MANDATORY VACCINES     ,1
1375544497497640961t,How can the government force people to have the vaccine when 100s of thousands of people have had bad reactions to the 1st Vaccine Is Boris trying to out do the Chinese dictatorship If he is he wont get away with it without riots,1
1254713964153405440t,   For example this UK based company is using different sequences of RNA found in our antibodies to create the DNA of the live virus supposed to help create a vaccine but if the live virus hasnt been isolated how do they know its right  ,0
1374678546799599617t, Oh ffs  I think when kids are vaccinated they will come after pets Big Pharma need to keep pumping the numbers of sold vaccines  ,0
1376757542982926336t,Geraldo Rivera can go to hell with his vaccine passports,1
1333433303949578243t, Mad fascist dictator Johnson now wants to force you to take an experimental vaccine with no longterm safety profile All this for a virus with 03 IFR Still think this is about a virus 1922 committee must step in NOW and REMOVE this communist lunatic,1
1353470856333127680t,TGA approves Pfizer vaccine for Australia What a farce We all know this is a rubberstamp by TGA ,0
1283213186330537986t,FDA  very fast in approving vaccine but wont approve medication like Hydroxychloroquine as its very cheap Your game is up FDA COVID,0
1336368655379140610t,  Still bizarre that the administration is banking on doses from unproven vaccines maybe theyll save us but they certainly could have gone with the proven option from Pfizer,0
1306955828025610240t, The more sick we make them the more theyll need your mandated flu and covid vaccine See how conveniently that works everyone,1
1325933288293355521t,  If you are going to lie you should at least Get rid of all the evidence Shameful Me my family of my friends will not be taking your vaccine ,0
1336676489916542977t,At least now I can just say I have allergy problems and can get out of taking any soon to be mandated vaccines whether its Pfizers COVID19 vaccine or anybody elses I dont expect that to actually work we care about compliance not health and safety,1
1264022182293880833t,  Why so much promise for a vaccine that so far has shown at best 20 efficacy rate 8 people out of 45 developed antibodies,0
1288646596675145728t, Desperate public Or people daily bombarded by the media that they wont get their life back unless they succumb to a vaccine Theres a difference between desperation and coercion ,1
1418210925157392386t,12 The newest Israeli data indicate complete vaccine failure on every level Remember Israel used only the pfizer mRNA shot and followed Pfizer dosing schedule NadhimZahawiLiar NoVaccinePassport ToryDictatorship ,1
1286668439734583296t,smallyoutuber Doctors Warn Covid Vaccine Dangerous  Illegal to Mandate  FULL SHOW 72220  Share this bombshell transmission to thwart Big Tech censors Watch  share this Wednesday edition of the most banned broadcast in the world,1
1354377526580277250t,I wonder if  will be at the airport to shame  when hes heading to the states with the bowl of shamrock  or will the Pfizer so called vaccine have killed all the old people by then He can ask Biden about herd immunity while hes there,0
1320026670208847872t,   Covid health pass  evidence of negative test  soon vaccines now required to travel abroad Businesses bankrupted millions unemployed Central Bank Issued Digital Currencies coming soon Draconian restrictions on movement social activity and earning ability Which is wrong,1
1283152391374856193t,Imagine what would happen to their shares if they gave the vaccine to the people dieforthedow Moderna shares jump as much as 16 after company says its coronavirus vaccine trial produced robust immune response ,0
1319446100080721922t,reasd on every human has right for his or hers freedom how dare these evil people think they can make world in to slavery by pumping in vaccine which has no mother or father vaccine will never pass to many side effects humans do not need vaccine machines and humans do not mix,1
1413090899878350855t, Im some sort of weirdo here for thinking that there should be something by way of compensation for not getting the vaccine opportunity due to the risk appraisalhave to think 4 week Moderna would give more than enough nAb titers anyway  ,0
1364350628617719811t,Vaccine to be tested on 6 year olds Over 12k adverse effects and over 600 dead Real damage seen years from now with cancer infertility and more Cant attach link but visit articlesmercola and see for yourself,0
1405309805863051264t, There are only 2 surprising things here firstly that this mRNA vaccine is any different to the other 2 already licensed  second that the other 2 supposedly perform twice as well I suspect if they were fully trialled again theyd get similar results to Curevac,0
1338743297670569985t,Yeah you except me to take the Pfizer vaccine after all of the CCP executives were exposed to be involved,1
1358070808975790080t,Half of a seniors home died from the covid vaccine HALF If you get an RNA vaccine you are a ignorant and deluded Of course the government cares about us or bforced into it because you work in the medical field Get a lawyer,1
1336111235746713602t, I hope so We also need lawyers willing to file thousands of lawsuits against any company forcing a Covid vaccine as a precondition to service or employment Time to StopTheGreatReset ,1
1260173163616501760t,   One Script One Agenda Forced Vaccines Depopulation Electronic Money Mass Slavery  Control Constant Surveillance Media Brain Washing Masses Deception of Sovereign Nations One puppet Master in the background WAKE UP WORLD COVID19  SCAM ,1
1364128587511713792t,  Lets be clear Thousands dont need vaccines Some dont want an immunisation forced upon them Nobody should feel guilty about not wearing the vaccine badge If you think it should be compulsory for everyone then you are backing full on communism RZST,1
1325770767641047041t, Effective for what though The Pfizer vaccine has not been trialled to show prevention of transmission of the virus alleviation of mild symptoms like a cough yes  ,0
1374988243263979522t,Every person gets one chance to show real courage Landlords of Britains Pubs today is your chance  Tell  to stick his vaccine passport up his arse   ,1
1298275719600988160t,Why would people take such a vaccine without evidence of efficacy  I wouldnt,0
1374051111875776512t,  If the vaccines are as great as we are being told they are why should they care if those who are not vaccinated attend They and you would only be risks to each other We used to call that something like freedom to make adult choices,1
1377255028608659456t, Pfizer marks up the vaccine 30 above landed cost and will bring in an estimated 15B in profits Corporate science isnt ethical The CDC and the media need to stop propping it up and presenting it like its in any way valid,0
1279042343182585856t,Who wants scientific process to spoil the show date in advance for the release of a new vaccine before a clinical trial has even begun says Indian Journal of Medical Ethics COVID19Pandemic COVAXIN ,0
1291703659806564353t, My thoughts Russia is forcing the people to get vaccinated with an unproven vaccine Trump paid Kodak 700 mil to produce vaccine They take the money secretly ship in Russian vaccine claim its THEIRS and it comes out on Nov 2nd,1
1340679198197858306t, While Pfizer itself is telling the pregos to keep away from the vaccine if they can,0
1268671209555685376t,AZN AstraZeneca clinicaltrials BigPharma Corruption humanExperiments Minnesota UniversityofMinnesota He was coerced into a pharmaceuticalindustry study from which the university stood to profit but which provided him with inadequate care ,1
1326151790270836738t, NopePfizer made this very clear And why would you support the fast tracking of a vaccine when you didnt even think the virus was an issue Enlighten me,1
1295896256116453377t, doing business with Oxford is doing business with the CCP No mandatory vaccines for Australians ever  ,1
1374028161743253504t, Healthy people in their 20s are getting vaccinated in other states there better be some Pfizer left when its my turn bc im not getting that knockoff canal street JJ shit,0
1334210952489623553t, The vaccine question will be interesting In OR nurses for years have fought mandatory flu shot legislation for HC workers Not so sure people are going to race to embrace untestedunproven Covid vaccines produced by big pharma whuge profit motive  quick science on efficacy,1
1376892322382811141t, Good luck with this one in court trying to limit someones freedom with a vaccination not approved by the FDA What about HIPAA Laws Lawyer up my friends,1
1370251858338516997t,Health Minister in Critical Condition just one day after receiving CV  MARCH 9 2021  Mr Hunts team and authorities will continue to deny the Oxford  Astrazeneca vaccine has had any part to play in his serious condition  suffer an infection  ,0
1327230889051389952t,If Pfizer Vaccine is a success then why did its CEO sell his holdingshares off Is he not confident Does he know something which we dont ,0
1350178698910171136t,Serious Consequences  Norway Sounds Alarm After 23 Die Following Pfizer Vaccine  zerohedge,0
1376596936132812803t, Lmao this administration is a joke They want to pass a recovery bill tout the vaccine numbers and then keep scaring people into following their orders This is ridiculous They will never let us be free because the rules keep changing,1
1363903657335533571t,   cant you read it was tested on people of all different races ages nationalities but you know when they get covid it will be the governments fault or the police or anyone else apart from themselves for not taking the vaccine and people like you full the fire,0
1336745503338467333t,   The Governor of Illinois is encouraging residents to take the vaccine What happened to my bod my choice and the abortion bill you regulated in 2019,1
1364625306477342725t,   Then they dont have it But has this vaccine been made from aborted baby cells  but if they refuse it then they will be unable to return to normal things to do if they hopefully bring in the vaccine passports ,1
1326718154261794817t,  COVID IS A DRUG MAN MADE BY THE GOVERNMENT TO SEPARATE EVERYBODY SO BIDEN CAN INJECT US WITH THESE VACCINES  RDIF CHIPS MARTI LAW IS ABOUT TO HAPPEN  THEYRE GOING TO TRY TO PUT US IN FEMA CAMPS LIKE THE HOLOCAUST WERE ALL SLAVES TO THE SYSTEM,1
1305507114698379265t,I wouldnt take a vaccine from a company that had thousands of lawsuits filed against them Pfizer CEO says drug company will know if COVID19 vaccine works before the end of October ,0
1319185779118247936t,  Try this take big pharma is covering their asses and claiming he took a placebo to keep making money off a bad vaccine,0
1365216215061336065t,First of all even if Sinovac is the only vaccine available in the country you dont and shouldnt offer vaccines with low eficacy rate to the frontliners Imagine getting little to subsidies mula sa gobyerno Then all of a sudden youll be manipulated into getting a vaccine,0
1353382190768398337t,  Most elderly people actually believe the government lies that the vaccine will give them their lives back They are utterly betrayed,0
1374805398285209600t,There are a lot of big players working hard to ensure we get vaccinated whether we want to or not This is a big play involving nothing but money and power imo,1
1350135296625680384t,  We have been trying to find an effective vaccine for flu for over 70 years with no success I know we have a vaccine for flu but still 1020k die every year from flu except this year Flu has disappeared Have we cured it More likely they have rebranded the flu to covid 19,0
1286566877435703296t,    No surprise that Alan Dershowitz is promoting the Covid vaccine and mandatory requirement He was good friends with the biggest pedo the world has known defended Epstein in his first court trial and still remained friends with him afterwards,1
1360128738873270274t,Pfizer bails out of India after country demands safety testing for COVID vaccine  News  LifeSite Americans Frontline Doctors are urging the Biden administration to take note of Indias decision to deny Pfizers application based on a lack of safety ,0
1339294674507292674t,  covid vaccine causes positive HIV tests in Austrailia  wakeup,0
1326606740956196864t,   Seat belts are typically good for the life of your car but vaccines may not be The Pfizer vaccine immunity term is unknown,0
1353505133854908417t, Obviously not since its not even a vaccine as admitted by Pfizer You can still contract Covid and transmit it you just have a chance of reducing symptoms and a 4 chance of severe side effects complete with unknown long term effect since its a gene therapy,0
1364737964832677889t, I would like to know if there are more deaths from one vaccine JJ,0
1312466770452602880t,  Fact is no one could afford Obama caredouble premiums 1200 plus monthlyhuge dedscouldnt keep our doctors or ins cowe want choice not govt rulershiplets start with HCQ ivecterminfor covid that is a political election issueif a med works no emergency vaccine needed ,0
1348219721133522945t,Other than the CovidVaccine covid vaccine which will NOT bring us the freedom we all so desperately need what is the exitstraegy endgoal ZeroCovid strategy  The vaccinations alone will not be enough lockdown marr Covid19,1
1353103656770527232t,UK must rethink the Pfizer 2nd vaccination to comply with their DATA The UK government has granted pharmaceutical giant Pfizer a legal indemnity protection from being sued how much this did cost and what was their reasoning behind it,0
1424723617871548428t,Close family member unvaxxed has covid flu like symptoms for a few days her double vaxxed work colleague is not doing well and the point of a vaccine passport is    ,1
1375470458406105089t,Dare I suggest something more sinister with Johnson suggesting a vaccine passport aimed at the reopening of pubs would force the young to seek out the vaccine A vaccine that is experimental offers the individual no protection from getting or passing on the virus,1
1335104606318325760t,No need for vaccines the pandemic is effectively over Dr Mike Yeadon Pfizers former VP and Chief Scientist for Allergy  Respiratory states that the drive for a universal vaccine has the whiff of evil which he will oppose  vigorously ,0
1290177152948695040t,   All Im saying is it is a deadend and continues to be proven as such Maybe after mandatory moderna vaccinations and countless side effects we will finally learn  Dead giveaway when you cant sue them for damages due to their lame vaccines,0
1285717886678564867t,  An obscure report from the Ukraine seemingly indicating that an unannounced experiment on 15 volunteers using the Moderna vaccine resulted in 8 ICU patients 5 of whom died What is unusual is that it seems 10 of those were infected before the vax ADE ,0
1288554757087531010t, Ive been to Russia There is no way in hell I would use a vaccine from there,1
1328322716051644417t, Its time to Expose the Truth about Covid 19 and to Rage Against The Mandatory Vaccines    ,1
1375781340000493568t, 998 recovery rate if not more for all the people who had it and just stayed home Plus we know that the vulnerable are those living with specific preexisting conditions and elderly living in long term care so NO to vaccine passports or for making Covid vaccine mandatory,1
1367551895192166400t,Stone Roses Ian Brown steps down as Warrington festival headliner over Covid vaccine dispute My Saturday night headline show at NHBD Weekender Festival will now not happen I refuse to accept vaccination proof as condition of entry  ,1
1300193218273968130t, Makes me chuckle as they actually think there will be a coronavirus vaccine There has never been any for the other six so he is basically saying that this is it this is our life fucking idiot,0
1280531507707367424t,You got me fucked up if u think Im taking that fucking corona vaccine aka the mark of the beast,0
1352380373473390594t,Yall way too hype about getting the Covid vaccine its weird ,0
1336671286681104384t,   Bs not directly to Covid its from other firms cancer diabetes but are telling people its Covid so they can push deadly vaccines wake up,1
1382291316709732356t,Denmark will cease to administer AstraZenecas COVID19 vaccine entirely following its possible link to very rare cases of blood clots several Danish media outlets reported on Wednesday citing unnamed sources ,0
1376602227347963904t,     okay settle down now blown gasket You have the right to choose to get vaccinated and that is your right Just like those who choose not to it is their right to make that choice not to Having this pass as they call it is removing choice and that is against peoples,1
1336007404559982593t,Petition Do not implement Covid19 Freedom Passes  Sign this petition and let  know how you feel This is effectively making vaccination mandatory Not acceptable Covid19 humanrights petition freedom coronavirus vaccine,1
1377230328666976257t, You know what you can do with the vaccine passport YEAH YOU KNOW ,1
1350115151484051457t,We could have had COVIDzero already the vaccine will not arrive in time to save us  Pfizer to temporarily reduce vaccine deliveries to Canada minister says  CBC News  bcpoli covid19 cdnpoli,0
1285916624793612294t, Thats your right as an American  at least under PresidentTrump you will have a choice to take a Pfizer or any other vaccine but under Biden they might well force you to take it That is the nature of the choice we face in this election Freedom or Tyranny,1
1375163318869102598t, Never heard worse Any attempt at vaccine passport will finish the leisure and travel sector,1
1322648033700577281t, Right so whats the plan the death rate is as low as the flu the virus wont go away by itself a vaccine wont do much as you are only immune for around 3 months a lockdown will result in more deaths than covid so whats your plan,0
1317133353821204486t,Biden came out and said he wants this untested experimental covid vaccine to be mandatory and hes expecting our Governors to force it on us  THIS is the freedomless future the Left has in store Vote like your lives depend on itbecause they do   ,1
1319863772723343365t, Drunk works too as the vaccine promoters are drunk on power and money and controlling peoples lives best example is psychopath Bill Gates,0
1325831662794657792t,The fact that you guys are so supportive of Big PHARMA IS troubling to mereally troublingpeople are on here really Speaking on the behalf of PfizerI am in the Fcking Matrix MY GOD  smh ,0
1371770921887883272t,Bismillah people need to know that many are getting sick from some types of the vaccines being used Some but not all Covid19 shots We should not try to save the financial viability of any Vaccine maker Lost of a bad product is part of their business ,0
1262135864186023938t, Is talking the COVID19 British vaccine as if we are about to achieve the Holy Grail each year we have a flu jab yet we never know which mutation will occur If were lucky there may be some protection the likelihood of Oxford coming to our rescue is indeed slim,0
1365269098024820743t, the world or better said worlds politicians are begining to enforce vaccination This is not ethical this is not right this is terrible NO against the pasaporte vacunal ,1
1337183965917097984t,   They tested kids in the trials My daughter shes 16 was invited to participate though we declined A hospital in Cincinnati was testing 12yearolds for Pfizer Regardless though youre right Healthy kids should be low priority,0
1343512214070812672t,  and the Pfizer vaccine  does not prevent transmissionor becoming infectedjust lessons the severity of symptoms ,0
1355737068085907457t,I guess my body my choice is a very specific mantra for the left Realize this request is for kids learning remotely Im not anti vaxx but it should always be a choice If youre vaccinated what is the issue that others dont get vaccinated ,1
1294329486658289665t, LIVE President Trump URGENT News Conference from the White House THIS SOUNDS LIKE MANDATED MASKS  MANDATED GATESMODERNA VACCINES without longterm studies on the adverse effects as one vax doesnt fit all   via ,1
1366333600942194689t,Icouk Mandatory vaccine is a definite NO The hate and division this vaccine is causing is insane My brother  over 70 now very ill with extreme ear pain  facial paralysis after Oxford vaccine I will never take it as Ive seen the after effects bring hidden,1
1230189024981241857t,Mandating vaccines will not make any kid safer from th next Unvaxed will remain unvaxed and just denied a public school education Segregation medicalfreedom        ,1
1354819455012851713t,Its almost comical how thegot some of yall to believe Im antiscience  Remember what you said youd NeverForget The Nuremberg Code states that The Voluntary consent of the human subject is ABSOLUTELY ESSENTIAL IDoNotConsent to MedicalTyranny mybodymychoice ,1
1370203359009894403t,vaccineSideEffects alters your dna and rna dont take this experimental poison  the devil came to kill steel and destroy ,0
1339264718020734977t,Dude if everyone resists this vaccine I fucking KNOW there will be another virus thats gonna be worse than covid that is released that will literally force everyone to take a vaccine I got my predictions Well see,1
1355711914811289604t,They dont have to get the vaccine They do not get to tell others what to do with their body,1
1363924500652437510t,  It is an experimental vaccine only authorised for emergency use It is illegal under international law to coerce people into taking it This country needs to move on and open up but Johnson wants CV19 to drag on 999 of healthy 60s fully recover  do not need a vaccine,1
1451985655249215492t, Are you working on a vaccine for those of us allergic to the ingredients in the present vaccine,0
1335597585315241986t,  Im a nurse I am mandated to get the flu vaccine annually  to stay up to date on most other vaccines like tetanus However my employer has stated that as of right now they will not mandate the COVID vaccine Hopefully that remains the case,1
1255290149795225621t, Thankfully he has backed down on trying to enforce everyone to wear face mask  Keep the pressure on not only do we have the right to life but also Liberty and pursuit of happiness There are no easy answers but shutting down the world until a vaccine is developed wont work,1
1290342462121291780t,   I am Im not an antivaxxer by any means Or at least I wasnt This covid vaccine has made me question my stance Regardless though s vaccine built in less than a year being pushed by a guy who has no medical expert and made by the Chinese who have started the virus to ,0
1354939377802162178t, Yeah I wont be injecting poison into my body to do what my own immune system can do Trying to persuade people to get a vaccine for a virus with a 98 survival rate is ridiculous,0
1001799828123344897t,     Lyme patients have been laughed at  lied to for so long its tough to believe anything the medical community or government tells us about the safety of the vaccine I have 5 infectious diseases from whatever bit me Theres no vaccine for that,0
1352878039370227712t,No Teachers so not deserve the Vaccine first Health workers then supermarket staff As we know Teachers have had a long break and not due back till April so why would they need a vaccine,0
1312628135683190786t,Trump recently said America is rounding the corner in making progress against COVID19 Redfield wants to crush any optimism among the American people at least until Big Pharma can get their experimental vaccines stuck into people ,0
1374031096745234435t,Boris Johnson warns Brits a third wave of Covid in Europe will wash up on our shores  BUT SURELY YOUR CURE ALL VACCINE IS MEANT TO STOP IT   THEN WHY ARE PEOPLE BEING PUT UNDER PRESSURE TO HAVE IT,1
1375481878887739392t,  understood the vaccine is your right to take but dont knock others because theyre skeptical that is their right that is the only way forward,1
1355717483080998914t,    Please explain to me why the NEW STRAINS seem to have broken out in countries that large vaccine testing programs Britain South Africa and Brazil And what are we to expect here now were mass vaccinating,0
1333236123762634752t,Pfizers COVID19 Vaccine Arrives at Chicagos OHare Airport Source Were NOT taking it  ,0
1433409620446490628t, Bonjour you can read it here Moderna says tainted COVID vaccines sent to Japan contained steel   Enjoy  ,0
1359424341130108931t,Astrazeneca CEO says COVID vaccine should work against severeignorance has no solution what is severe disease Very dumb statement  via ,0
1375287489909248003t,Im heartened to have met a doctor today who will not get the vaccine unless he is forced to Ethical reasons as well as others eg not tested long enough I told him about DavidDaleiden  PP ensuring he either goes to jail or is poor for the rest of his life ,1
1355268591977984000t,The vaccine process was designed to fast to be effective  they medical clowns are just making up excuses to cover their rear ends in the hopes of not getting sued for the problems these vaccines are causing people No one should be exposed to these kinds of problems by vaccines,0
1328320841294213120t, Its time to Expose the Truth about Covid 19 and to Rage Against The Mandatory Vaccines  ,1
1238024780265263105t,When you want to lower the population by using vaccines Create a problem like Corona Virus and use your media to promote your propaganda with acting scenes and there will be a reaction people will be in panic then offer them the solution vaccine that will make them safe ,0
1323602922521939969t,Luciferase There Has Never Been Anything Like It  Big Tech Companies Once Again Attempting To Cover For Bill Gates Intents  His Covid Vaccine Video ,0
1326164902499803137t,The Covid vaccine may not have fetal cells but it does have mRNA that will alter DNA I will die before I fall in line with a mandatory shot And I dont care what tracker is seeing this,1
1376925349397807112t,  Vaccine mandates by government are unethical and its over reach a passport would be discriminatory to people with compromised immune systems,1
1375367531062562818t,   Easy to say when youve had the vaccine not so easy when you havent as someone who hasnt and would like to see what happens to the lab rats before doing so or more importantly simply doesnt need it or want it the fear of vaccine passports for normal life is very real,1
1334419240007372804t,  Oh boy  if you thought the Pfizer vaccine was the Holy Grail watch this   the British Government have lied to you all  this is not just criminal negligence It has NOT been approved and it has NOT been evaluated properly yet ,0
1262932639264067584t, Please no mandatory vaccines for anyone Moderna vaccines are DOA,1
1286604008937881600t,IT BEGINS ANTIMASKERS WILL SOON BECOME ANTIVAXXERS YOU WONT BE ABLE TO WORK SHOP GO TO SCHOOL WITHOUT THE RUSHED VACCINE WHICH WAS NOT EVEN TESTED IN ANIMALS Prime Minister Boris Johnson says on opponents of COVID19 vaccination antivaxxers they are nutsNUTS SKY,0
1344317847393107969t,Canada is also behind the curve because the Liberals appointed a Vaccine Task Force corrupted by undisclosed conflict of interest Several of its members had links to Sanofi or GSK and they bet on it except now it turns out the SanofiGSK vaccine is a dud,0
1388469392866938880t,Former Pfizer Chief Scientific Officer on Experimental COVID Injections I Have Absolutely no Doubt that we are in the Presence of Evil  Vaccine Impact ,0
1376937367769088006t, Except social media fanatics vehemently decree anyone an idiot if they dont want the vaccine Unfortunately its a polarizing topic As well as political Ones own health should never be political,0
1293934625731956738t,No vaccine is better than a bad one Hope we dont exacerbate the transmission in trying to force a halfcooked vaccine  RussianVaccine SputnikV COVID19 AcademicTwitter AcademicChatter phdchat,1
1273636429466177538t,  Pushing banning of over the counter medicine for cough fever body aches so the Democrats can mandate force inject COVID in everyone in a form of a vaccine playing Russian roulette if they can fend off the virus while making a political scene to remove a president of opposition,1
1357297853740314624t, I have a question Please answer How is that they found a vaccine for covid so fast but cant find a cure for cancer HIVAIDs etc Yet yall want me to take a vaccine,1
1382050350845231105t,The US says not to give Johnson  Johnson vaccines after a woman died from a rare blood clot  ,0
1334533552688353281t,Obama mocked after promise to take Covid19  on camera Twitter recalls Flint waterdrinking stunt  the snake  oil vaccine  is toxic DO NOT TRUST the New Word Order Clan They are a chomping at the bit to be top dog in the Beast System Agenda  ,0
1365363936581849091t,  I hate to break it to you but people arent getting vaccinated because they realize their immune systems are the best defense and dont want to be injected with poison They really need to stop pushing these voodoo vaccines,1
1376666472873816064t,working to reinforce ToxicPenguinColony  CatalogueOfCompoundsAndGenes  preparing to sue joe biden and whoever violates my constitutional rights w vaccine passports and bunk sciences bill gates does not have a monopoly on science  ColorOfLaw,1
1254331415459758086t,Yes and the same police we are applauding today will be the one forcing u to take the vaccine shot Better wake up,1
1363140300600971266t,    Long covid is post viral fatigue rebadged Wrong There ARE EFFECTIVE drugs that are cheap with littleno side effects These were deliberately suppressed in order to push the vaccine Emergency status cannot be granted if effective treatment exists These were surpressed,1
1361468664831086593t, Hell get a pretend injection this so called vaccine is not a vaccine it fails to meet the criteria to get injected with this experiMENTAL vaccine it causes your cells to produce the corona protein for your entire life so your immune system attacks your cells,0
1332386750132609024t,    The same safety standards that were applied to the swine flu vaccine That didnt turn out too well for the guinea pigs who were coerced into having it ,0
1376585392934293504t,If the vaccine kills people the healthcare providers are still gonna be like yeah he had organ failure from unknown causes Not sure what happened thereprobably wasnt the vaccine tho ,0
1365265207510130692t, Now that the Queen has effectively told people theyre selfish if they do not accept the vaccine theyre definitely going to have it now Nothing like a bit of emotional blackmail,1
1368937897378910209t,And now they have a Covid vaccine Can they be trusted Lawsuits payouts opioids crisis what happened to Johnson  Johnson ,0
1314598556385280001t,   So a test is being used that can be tweaked any which way to get the desired result Fragments of a virus can be detected but then how do you know its Covid that being detected when the virus hasnt been isolated Then were being sold a vaccine on this Snake oil,0
1366029044760915968t,UK advances plans for vaccine passports to travel enter stores  via  CONTROL For a virus that has a 99 survival rate HMMM,1
1362968010038734848t,  Is it really voluntary Not with reports emerging that without your certificate you may be denied access to sport public transport cafes and shopping Not to mention centrelink Given that most agree a jab wont stop you transmitting Covid whats the point of passports,1
1347258346278031366t,i have no problem taking the covid test to keep my job but if they tell us taking the vaccine is mandatory or we cant work there just know im quitting,1
1349032774573961217t,This realworld evidence seems clear a single dose of the  vaccine wont protect the elderly who have weaker immune responses At a single nursing home a 90yearold died of Covid 18 days after receiving the vaccine Many others were infected ,0
1327812070444834816t, David Lets Share the TRUTH about Covid 19 and the pending MANDATORY VACCINES TOGETHER      ,1
1326208814354489344t,  a its rushed  untested b Vallance was Pfizer director during swine flu hoax c Gov had to pay out 60m in injury compensation for mostly brain damage injury claims d Flu vax only 14 effective e C19 from Mar is over experts agree its mutated to multiple less severe strains,0
1366715351564750850t,Add to this they seem to be working toward vaccine passports when they told us the vaccines dont prevent you catching or passing on COVID,0
1375434866322444289t,   enough is enough Coercively trying to force the population into being vaccinated is dangerous territory,1
1364103024352894982t,    They can also use coercion to force people to get the vaccine and claim its offered and then one vaccine leads to another until they pumping peoples bodies full of god knows what we will be human lab rats,1
1353028877791203328t, Migraine last 2 days but good now Working on a computer all day doesnt help Saw my Mom today so glad to see her after her terrible reaction to That vaccine So hope my brothers dont take her for the 2nd part Im not watching the news far to controlling for my liking,0
1292171084427599872t,Gates we wont go back to normal until a vaccine has gotten out to the entire world You first Bill Me no way Hes one evil dude Freedom Advocate Explains How To Say NO If COVID19 Vaccination Becomes Mandatory  ,1
1376598519746764800t,  I fully agree that forcing a vaccine on people isnt the way to go nor is requiring it to go Back to normal The thing is we shield vaccine makers from liability blanketly through a separate system for people who get injured by them,1
1374769298107863041t,Bcuz President Biden cant get more than 13 2B vaxxed they are quietly telling employers to mandate vaxxing or be shut down Hitler called this process PRIVATIZATION     ,1
1298180642262450176t, And we know damn well you are just going to use the regular flu season this winter and label everything under the sun as covid 19 to lockdown the country again and to force vaccination on the population Your a disgrace of a man absolute disgrace,1
1337581096234528768t,Vaccine lockdown Lockdowns COVID19 6 people already dead from the new Pfizer vaccine  The vaccine is so safe that theyll have to force people to take it,1
1289259774941384704t, All good Pretty brave of you to be that open minded Research has proven that some vaccinations caused issues in kids Not all but some Thats after years of studies and refining No thanks will me or my kids be anywhere near a new vaccine,0
1375354529777119232t, Theres been stupid idea after stupid idea during this last year Nothing makes sense really but this is right up there A bloody vaccine passport to get into a pub Deary me Were heading down a dark road if you bring in restrictions like this,1
1251595375510724610t, This is stupid  No vaccine found for HIV for 40 yearq No effective vaccine for Flu at is mutant  different every year And you hope a sudden miracle for COVID  HCQAZTZn work very well at the EARLY stage And you claim your patient died bc of non vaccine,0
1333089905417785347t,    Got to consider that the vaccine itself apparently knocks the sap out of you for a day or so Question is can nursing home residents survive it I doubt many people in the trials were in nursing homes too many complications If some start dying immediately after vaccination,1
1336880549743321088t,I am waiting for governmental forced vaccined corona positive population in India as their vaccine already failed in the case of volunteer minister there           ,1
1325860850557739009t,Pfizer is lying its ass off Lying Lying Lying Anyone who takes this untesteduntrialed vaccine has been lobotomized How stupid do they think people are Answer pretty stupid,0
1340722802358411268t, Moderna vaccine will forever change your DNA you will become a GMO if you take it,0
1375815697926922246t, The residents in long term care What rights do they have being pressured into getting the vaccine  Now you have workers getting positive readings that arent vaccinated so residents still need to be tested and showers taken away  because of outbreak mode Is this fair ,1
1432311487499055118t,15 New Zealand has reported the countrys first recorded death linked to the Pfizer Covid vaccine after a woman died following rare side effects The information was released by the health ministry after a review by an independent Covid vaccine safety monitoring board,0
1302750214357266432t, I am horribly concerned releasing a vaccine before its ready What is the medical impact of a vaccine that is not proven Could COVID19 spread faster with a vaccine that is not fully tested and proven your thoughts,0
1361708206205136902t,  Well a quick Google shows articles released 3rd Feb from Oxford studies saying the vaccine may reduce spread Im not saying it doesnt im genuinely interested but in this scenario a may reduce wouldnt be enough surely,0
1293247966501896192t,I would be almost willing to bet that not having a COVID19 vaccine will become a sign of noncompliance with the government that the left will use as a sign of who the Nazis are,1
1337468194001391616t,this is after receiving a few texts today about how the Pfizer vaccine causes Bells palsy which Ive had all my life,0
1334846186667319296t,ATTENTION BE CAREFUL WITH THE VACCINES AGAINST COVID19 NOT ALL ARE ETHICAL AND MORALLY ACCEPTABLE Some like the ASTRA  ZENECA one use tissue from aborted babies SPREAD THE VOICE ,0
1300139496386723841t,  You may not buy into conspiracy theories but it really does look like this is being used to socially engineer a new reality based on technology and continual vaccination Individual liberty seems to be nonexistent in this new normal,1
1377333368963002371t,  AstraZeneca vaccine Yoyohinshaw  Yoyoshandro preaching that AstraZeneca vaccine shot out weights the risk But now they say its only safe for old people If that was true what they keep preaching AstraZeneca would be safe for all ages 18100 Were did we get these clowns,0
1306792800340541442t, Yeah Im really gonna take a Chinesemade vaccine ,0
